"2001","pc","screen","mac","light","ibook"
"2002","buy","ibook","window","work","mac"
"2003","fast","battery","cd","sony","work"
"2004","apple","video","machine","know","screen"
"2005","battery","support","drive","gateway","toshiba"
"2006","system","work","battery","support","new"
"2007","mac","apple","window","macbook","keyboard"
"2008","apple","mac","macbook","notebook","screen"
"2009","apple","hp","mac","service","screen"
"2010","var","screen","model","macbook","drive"
"2011","screen","chromebook","var","macbook","key"
"2012","var","screen","macbook","time","yoga"
"2013","time","window","screen","var","macbook"
"2014","drive","back","window","graphic"
