"2000","tv","superb","remote","picture","buying"
"2002","new","york","small","appartment","space"
"2003","phone","track","picture","att","feature"
"2004","phone","device","using","service","nextel"
"2005","season","phone","service","call","tmobile"
"2006","show","phone","call","season","camera"
"2007","click","phone","de","battery"
"2008","phone","card","nokia","work","de"
"2009","phone","de","tweet","blackberry"
"2010","twitterpeek","phone","time","de","nokia"
"2011","phone","new","de","android","3g"
"2012","phone","el","iphone","battery","new"
"2013","phone","android","screen","var","work"
"2014","x","phone","var","screen","work"
