"2002","ir","alarm","free","banana","disconnected"
"2003","driveway","unit","worked","thing","night"
"2004","patrol","work","driveway","since","worked"
"2005","unit","alarm","work","thing","made"
"2006","alarm","sensor","set","deadbolt","patrol"
"2007","camera","var","unit","dsl","lock"
"2008","camera","work","alarm","var","time"
"2009","work","camera","alarm","door","monitor"
"2010","camera","support","system","work","var"
"2011","still","camera","monitor","light","var"
"2012","var","monitor","camera","system","drive"
"2013","camera","software","work","system","monitor"
"2014","camera","work","var","monitor","system"
